Date,Qui,Quoi,Delta,Total Caisse,Total Coffre,Total Coffre plus Caisse (Cash),Total Banque,Total Urlab,Commentaire du trésorier
6,Astramast/Arthur,Décompte,22,56.96,1139,1195.96,0,1195.96,
6,Astramast/Arthur,Transfert de caisse a coffre,0,36.96,1159,1195.96,0,1195.96,
6,Astramast/Arthur,Coca 33cl x15,-11.79,36.96,1147.21,1184.17,0,1184.17,Ticket ID 2 Achats Stock SmartMonday 2/10
6,Astramast/Arthur,Fanta Orange 33cl x15,-11.85,36.96,1135.36,1172.32,0,1172.32,Ticket ID 2
6,Astramast/Arthur,Lipton Ice Tea Peche 33cl x8,-5.93,36.96,1129.43,1166.39,0,1166.39,Ticket ID 2
6,Astramast/Arthur,Fanta Citron 33cl x 6,-5.29,36.96,1124.14,1161.1,0,1161.1,Ticket ID 2
6,Astramast/Arthur,Arrondi,0.01,36.96,1124.15,1161.11,0,1161.11,Ticket ID 2
12,Astramast/Arthur,Achats Stock Nouilles x13,-11.96,36.96,1112.19,1149.15,0,1149.15,Ticket ID 9
12,Linsfa/Kevin,Ardoise,11.96,36.96,1124.15,1161.11,0,1161.11,
19,Astramast/Arthur,Décompte,40,76.96,1124.15,1201.11,0,1201.11,
19,Astramast/Arthur,Fanta Orange 33cl x15,-11.85,65.11,1124.15,1189.26,0,1189.26,Ticket ID 3
19,Astramast/Arthur,Chips Naturel 45g x 20,-13.8,51.31,1124.15,1175.46,0,1175.46,Ticket ID 3
19,Astramast/Arthur,Chips Paprika 45g x 20,-13.8,37.51,1124.15,1161.66,0,1161.66,Ticket ID 3
19,Astramast/Arthur,Achats Stock Nouilles x24,-22.08,15.43,1124.15,1139.58,0,1139.58,Ticket ID 10
26,Astramast/Arthur,Fanta Orange 33cl x15,-11.85,3.58,1124.15,1127.73,0,1127.73,Ticket ID 4
