Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Trésorier
2,Astramast/Arthur,Décompte ,458.94,92.4,1047.2,1139.6,422.25,1561.85,Y a eu virement du CI (voir Pvs)
3,Astramast/Arthur,Jupiler 25cl x24,-15.79,76.61,1047.2,1123.81,422.25,1546.06,Ticket ID 16
3,Astramast/Arthur,Vidanges de Jupiler 25cl x24,-4.5,72.11,1047.2,1119.31,422.25,1541.56,Ticket ID 16
3,Astramast/Arthur,Chips Paprika 45g x20,-14.6,57.51,1047.2,1104.71,422.25,1526.96,Ticket ID 16
14,Astramast/Arthur,microSD 64Gb,-19.95,57.51,1027.25,1084.76,422.25,1507.01,Ticket ID 17
14,Astramast/Arthur,microSD 16Gb x4,-35.8,57.51,991.45,1048.96,422.25,1471.21,Ticket ID 17
14,Astramast/Arthur,microHDMI to HDMI cable,-8.95,57.51,982.5,1040.01,422.25,1462.26,Ticket ID 17
14,Astramast/Arthur,Raspberry Pi 15W-3A USB-C Power Supply x4,-35.8,57.51,946.7,1004.21,422.25,1426.46,Ticket ID 17
14,Astramast/Arthur,Livraison,-10.68,57.51,936.02,993.53,422.25,1415.78,Ticket ID 17
14,Astramast/Arthur,Hotend Prusa MK3,-79.99,57.51,856.03,913.54,422.25,1335.79,Ticket ID 18
14,Astramast/Arthur,Livraison,-11.49,57.51,844.54,902.05,422.25,1324.3,Ticket ID 18
14,Astramast/Arthur,Don,2.06,57.51,846.6,904.11,422.25,1326.36,
16,Astramast/Arthur,Décompte de fin d’année,45.5000000000002,0,949.61,949.61,422.25,1371.86,
